molecule_chembl_id,smiles,MW,HBA,HBD,LogP,activity_type
CHEMBL410926,CN1CCC(C(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)ccc23)CC1,351.16952491200004,5,3,2.610800000000001,active
CHEMBL261882,CN1CCC(C(=O)Nc2n[nH]c3nc(-c4ccccc4)c(Br)cc23)CC1,413.08512236,4,2,3.6677000000000017,inactive
CHEMBL407958,O=C(Nc1n[nH]c2nc(-c3ccccc3)c(-c3ccccc3)cc12)C1CC1,354.148061196,3,2,4.640400000000002,inactive
CHEMBL260662,Cc1cc2c(NC(=O)C3CC3)n[nH]c2nc1-c1ccc(O)cc1,308.127325752,4,3,2.987420000000001,active
CHEMBL260664,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Cl)cc12)C1CC1,328.072703336,4,3,3.3324000000000007,active
CHEMBL408979,COc1ccccc1-c1ccc2c(NC(=O)C3CC3)n[nH]c2n1,308.12732575200005,4,2,2.982,inactive
CHEMBL260345,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(O)c3)ccc12)C1CC1,310.10659030799997,5,4,2.3846,active
CHEMBL260344,O=C(Nc1n[nH]c2nc(-c3ccccc3)ccc12)C1CC1,278.116761068,3,2,2.9734000000000016,inactive
CHEMBL261052,CCCC(=O)Nc1n[nH]c2ncc(-c3ccc(-c4ccccc4)cc3)cc12,356.16371126,3,2,5.030500000000003,inactive
CHEMBL261264,CCCC(=O)Nc1n[nH]c2ncc(-c3ccncc3)cc12,281.1276601,4,2,2.7585000000000006,inactive
CHEMBL407002,CCCC(=O)Nc1n[nH]c2ncc(-c3cccnc3)cc12,281.1276601,4,2,2.7585000000000006,active
CHEMBL407003,CCCC(=O)Nc1n[nH]c2ncc(-c3ccccc3Cl)cc12,314.09343878,3,2,4.016900000000002,active
CHEMBL264161,CCCC(=O)Nc1n[nH]c2ncc(-c3cccc(F)c3F)cc12,316.113567508,3,2,3.641700000000001,active
CHEMBL263907,CCCC(=O)Nc1n[nH]c2ncc(-c3cccc(F)c3)cc12,298.12298932000004,3,2,3.502600000000001,active
CHEMBL407373,CCCC(=O)Nc1n[nH]c2ncc(-c3ccccc3F)cc12,298.12298932000004,3,2,3.502600000000001,active
CHEMBL407374,CCCC(=O)Nc1n[nH]c2ncccc12,204.101111004,3,2,1.6964999999999997,inactive
CHEMBL264162,CCCC(=O)Nc1n[nH]c2ncc(B3OC(C)(C)C(C)(C)O3)cc12,330.18632099599995,5,2,1.9956999999999994,inactive
CHEMBL408809,CCNC(=O)Nc1n[nH]c2ncc(-c3ccccc3)cc12,281.1276601,3,3,2.766300000000001,inactive
CHEMBL258483,O=C(Nc1n[nH]c2ncc(-c3ccccc3)cc12)C1CCCC1,306.148061196,3,2,3.7536000000000023,active
CHEMBL261596,CC(C)C(=O)Nc1n[nH]c2ncc(-c3ccccc3)cc12,280.132411132,3,2,3.219400000000001,active
CHEMBL317657,O=C(Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12)C1CCN(Cc2ccccc2)C1,465.08003698,5,2,4.4410000000000025,active
CHEMBL260680,CN1CCC(CC(=O)Nc2n[nH]c3nc(-c4cccs4)c(Br)cc23)CC1,433.05719336000004,5,2,4.119300000000003,active
CHEMBL406644,O=C(Nc1n[nH]c2nc(-c3nccs3)c(Br)cc12)C1CCCC1,391.010243168,5,2,3.9726000000000017,active
CHEMBL407980,O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CCCC1,390.0149942,4,2,4.577600000000002,active
CHEMBL407981,CCN1CCN(CCCC(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)c(Br)cc23)CC1,486.1378862039999,6,3,3.449200000000001,active
CHEMBL427909,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(-c3ccccc3)cc12)C1CC1,370.142975816,4,3,4.346000000000002,active
CHEMBL259838,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Cl)c3)ccc12)C1CC1,328.072703336,4,3,3.3324000000000007,active
CHEMBL260416,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Br)c3)ccc12)C1CC1,372.022187756,4,3,3.4415000000000004,active
CHEMBL405145,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)ccc12)C1CC1,294.111675688,4,3,2.6790000000000003,active
CHEMBL260417,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Br)cc12)C1CC1,372.022187756,4,3,3.4415000000000004,active
CHEMBL259271,CCN1CCN(CCCCC(=O)Nc2n[nH]c3nnc(-c4ccccc4)cc23)CC1,407.243358548,6,2,2.7662000000000004,active
CHEMBL406125,CN1CCC(C(=O)Nc2n[nH]c3nnc(-c4ccccc4)cc23)CC1,336.16985925999995,5,2,2.3002000000000002,active
CHEMBL261518,O=C(CCCN1CCOCC1)Nc1n[nH]c2nnc(-c3ccccc3)cc12,366.180423944,6,2,2.0707999999999993,active
CHEMBL409738,CCN1CCN(CCCC(=O)Nc2n[nH]c3nnc(-c4ccccc4)cc23)CC1,393.227708484,6,2,2.376099999999999,active
CHEMBL261441,O=C(CCCN1CCCC1)Nc1n[nH]c2nnc(-c3ccccc3)cc12,350.18550932399995,5,2,2.8344000000000005,active
CHEMBL259744,CN(C)CCCC(=O)Nc1n[nH]c2nnc(-c3ccccc3)cc12,324.16985925999995,5,2,2.3002000000000002,active
CHEMBL261127,CCCC(=O)Nc1n[nH]c2nnc(-c3ccccc3)c(-c3ccccc3)c12,357.158960228,4,2,4.425500000000003,inactive
CHEMBL261661,CCCC(=O)Nc1n[nH]c2cnc(-c3ccccc3)nc12,281.1276601,4,2,2.7585000000000006,inactive
CHEMBL261549,CCCC(=O)Nc1n[nH]c2cnc(-c3ccccc3)cc12,280.132411132,3,2,3.363500000000001,active
CHEMBL347580,COc1ccc(C2=C(N3CCc4ccccc43)C(=O)NC2=O)cc1,320.11609237199997,4,1,2.1254,inactive
CHEMBL156524,O=C1NC(=O)C(N2CCc3ccccc32)=C1c1ccc(Cl)cc1,324.066555336,3,1,2.770200000000001,inactive
CHEMBL346107,O=C1NC(=O)C(N2CCc3ccccc32)=C1c1cccc(Cl)c1,324.066555336,3,1,2.770200000000001,inactive
CHEMBL155967,O=C1NC(=O)C(N2CCc3ccccc32)=C1c1ccccc1Cl,324.066555336,3,1,2.770200000000001,inactive
CHEMBL435045,CN(C1=C(c2ccc(Cl)cc2)C(=O)NC1=O)c1ccccc1,312.066555336,3,1,2.8439000000000005,inactive
CHEMBL156801,CN(C1=C(c2cccc([N+](=O)[O-])c2)C(=O)NC1=O)c1ccccc1,323.09060589600006,5,1,2.0987,inactive
CHEMBL351334,CN(C1=C(c2ccccc2)C(=O)NC1=O)c1ccccc1,278.105527688,3,1,2.1905,inactive
CHEMBL158835,CSc1ccc(NC2=C(c3ccc([N+](=O)[O-])cc3)C(=O)NC2=O)cc1,355.062676896,6,2,2.7963000000000005,inactive
CHEMBL160829,COc1ccc(C2=C(Nc3cccc(O)c3)C(=O)NC2=O)cc1,310.095356928,5,3,1.8803999999999996,inactive
CHEMBL156807,COc1ccc(C2=C(Nc3ccccc3)C(=O)NC2=O)cc1,294.100442308,4,2,2.1747999999999994,inactive
CHEMBL351342,CSc1ccc(NC2=C(c3ccc(Cl)cc3)C(=O)NC2=O)cc1,344.038626336,4,2,3.541500000000002,inactive
CHEMBL156808,O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccc(O)cc1,314.045819892,4,3,2.5252,inactive
CHEMBL347419,O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1cccc(O)c1,314.045819892,4,3,2.5252,inactive
CHEMBL160938,O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1cccc(Cl)c1,332.01193292,3,2,3.4730000000000008,inactive
CHEMBL160968,O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccccc1,298.050905272,3,2,2.8196000000000003,inactive
CHEMBL156379,O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1ccc(Cl)c(C(=O)O)c1,387.02581272,6,3,2.426,active
CHEMBL352222,O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1cc(Cl)c(O)c(Cl)c1,392.991925748,6,3,3.0868,active
CHEMBL160373,COc1cccc(C2=C(Nc3cccc(O)c3)C(=O)NC2=O)c1,310.095356928,5,3,1.8803999999999992,inactive
CHEMBL160743,CSc1ccc(NC2=C(c3cccc(Cl)c3)C(=O)NC2=O)cc1,344.038626336,4,2,3.541500000000002,inactive
CHEMBL351801,O=C1NC(=O)C(c2cccc(Cl)c2)=C1Nc1cccc(O)c1,314.045819892,4,3,2.5252,inactive
CHEMBL160586,O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(Cl)c(C(=O)O)c1,387.02581272,6,3,2.426,active
CHEMBL160937,O=C1NC(=O)C(c2ccccc2Cl)=C1Nc1cccc(O)c1,314.045819892,4,3,2.5252,inactive
CHEMBL434484,CSc1ccc(NC2=C(c3ccccc3)C(=O)NC2=O)cc1,310.07759868799997,4,2,2.8881000000000006,inactive
CHEMBL350435,O=C1NC(=O)C(c2ccccc2)=C1Nc1cccc(O)c1,280.084792244,4,3,1.8717999999999997,inactive
CHEMBL351356,O=C1NC(=O)C(c2ccccc2)=C1Nc1cccc(Cl)c1,298.050905272,3,2,2.8196000000000003,inactive
CHEMBL259141,NC1CCN(c2ncnc3[nH]ccc23)CC1,217.13274547999998,4,2,0.8853999999999993,inactive
CHEMBL261249,NCC1CCN(c2ncnc3[nH]ccc23)CC1,231.14839554399998,4,2,1.1329999999999996,inactive
CHEMBL259998,NC1(c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,327.125073256,4,2,3.0657000000000014,inactive
CHEMBL409503,NCC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]cnc23)CC1,356.15162235200006,5,2,2.7943000000000007,inactive
